Name,tagId
Sanhua,3
Sanhua,20
Baizhi,1
Baizhi,9
Baizhi,13
Lingyang,2
Zhezhi,3
Zhezhi,4
Zhezhi,9
Zhezhi,11
Zhezhi,18
Zhezhi,22
Youhu,1
Youhu,6
Youhu,12
Youhu,31
Carlotta,2
Carlotta,6
Chixia,2
Mortefi,3
Mortefi,7
Mortefi,9
Mortefi,21
Changli,2
Changli,6
Changli,17
Changli,23
Brant,1
Brant,4
Brant,17
Brant,22
Lupa,3
Lupa,7
Lupa,17
Lupa,20
Calcharo,2
Calcharo,7
Yinlin,3
Yinlin,6
Yinlin,9
Yinlin,16
Yinlin,23
Yuanwu,3
Yuanwu,9
Yuanwu,12
Yuanwu,30
Jinhsi,2
Jinhsi,6
Xiangli Yao,2
Xiangli Yao,7
Yangyang,3
Yangyang,8
Yangyang,11
Aalto,3
Aalto,15
Jiyan,2
Jiyan,5
Jiyan,8
Jianxin,1
Jianxin,5
Jianxin,8
Jianxin,23
Rover: Aero,1
Rover: Aero,6
Rover: Aero,24
Ciaccona,3
Ciaccona,8
Ciaccona,24
Cartethyia,2
Cartethyia,8
Cartethyia,15
Cartethyia,24
Rover: Spectro,3
Rover: Spectro,10
Verina,1
Verina,9
Verina,13
Lumi,2
Lumi,4
Lumi,22
Shorekeeper,1
Shorekeeper,8
Shorekeeper,13
Phoebe,2
Phoebe,3
Phoebe,28
Zani,2
Zani,5
Zani,19
Zani,28
Taoqi,1
Taoqi,7
Taoqi,22
Danjin,3
Danjin,14
Camellya,2
Camellya,3
Camellya,4
Rover: Havoc,2
Roccia,3
Roccia,5
Roccia,8
Roccia,14
Roccia,20
Cantarella,1
Cantarella,3
Cantarella,4
Cantarella,9
Cantarella,14
Cantarella,22
